Id,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,Season,Id_HomeTeam,Id_AwayTeam,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWin3,HTWin5,HTLoss3,HTLoss5,ATWin3,ATWin5,ATLoss3,ATLoss5,HTDG,ATDG,DiffPts,DiffFormPts,Journey,Med_HTDG,Med_ATDG,Med_DiffPts,Med_DiffFormPts,Med_HTP,Med_ATP,Med_HTGS,Med_ATGS,Med_HTGC,Med_ATGC,FTR_h_or_not,year,month,day
30,0,2,11,1,0,2,0,0,0,10,13,3,2,10,19,5,5,1,5,0,0,2.2,3.3,3.3,2.2,3.1,3.2,2223,33,35,11,13,18,23,12,12,1,1,1,1,1,2,0,0,0,1,231,28,2,4,0,0,0,0,0,0,0,0,-7,-10,0,-2,17,-0.4117647058823529,-0.5882352941176471,0.0,-0.1176470588235294,0.7058823529411765,0.7058823529411765,0.6470588235294118,0.7647058823529411,1.0588235294117647,1.3529411764705883,0,2022,11,26
31,0,21,17,2,0,2,1,0,2,13,7,4,1,12,10,7,1,2,6,0,1,1.66,3.8,5.25,1.66,3.5,4.6,2223,20,40,18,17,15,17,27,23,0,2,2,1,2,2,0,0,2,0,153,25,11,8,0,0,0,0,0,0,0,0,3,0,4,3,17,0.1764705882352941,0.0,0.2352941176470588,0.1764705882352941,1.588235294117647,1.3529411764705883,1.0588235294117647,1.0,0.8823529411764706,1.0,0,2022,11,26
32,0,7,18,0,0,0,0,0,0,6,13,1,2,12,11,5,5,5,2,0,0,2.87,3.0,2.7,2.75,2.85,2.6,2223,28,37,13,17,9,19,26,21,2,2,2,1,1,1,2,2,0,0,33,29,10,7,0,0,0,0,0,0,0,0,4,-2,5,3,17,0.2352941176470588,-0.1176470588235294,0.2941176470588235,0.1764705882352941,1.5294117647058822,1.2352941176470589,0.7647058823529411,1.0,0.5294117647058824,1.1176470588235294,1,2022,11,25
33,0,15,6,2,1,2,0,0,0,10,14,3,4,14,11,3,6,2,2,0,0,2.9,3.0,2.62,2.75,3.0,2.45,2223,25,24,19,17,17,12,19,25,0,2,1,2,2,0,0,2,0,1,159,30,6,10,0,0,0,0,0,0,0,0,2,5,-6,-4,16,0.125,0.3125,-0.375,-0.25,1.1875,1.5625,1.1875,1.0625,1.0625,0.75,0,2022,11,21
34,0,3,20,1,1,0,0,0,0,7,17,2,5,25,15,3,8,3,3,0,0,2.45,3.1,3.1,2.25,3.1,3.0,2223,31,29,17,15,12,9,26,27,2,2,1,0,0,2,1,0,1,0,184,31,4,9,0,0,0,0,0,0,0,0,5,6,-1,-5,16,0.3125,0.375,-0.0625,-0.3125,1.625,1.6875,1.0625,0.9375,0.75,0.5625,1,2022,11,20
35,0,12,21,0,0,0,0,0,0,11,7,0,0,10,11,4,4,0,1,0,0,2.0,3.25,4.0,1.95,3.1,3.75,2223,26,20,17,17,12,14,26,26,2,2,1,2,2,0,0,2,0,1,25,30,8,10,0,0,0,0,0,0,0,0,5,3,0,-2,16,0.3125,0.1875,0.0,-0.125,1.625,1.625,1.0625,1.0625,0.75,0.875,1,2022,11,20
36,0,14,4,4,0,2,0,0,0,22,8,9,5,11,7,10,2,0,0,0,0,1.8,3.4,5.0,1.78,3.3,4.33,2223,22,32,17,12,9,21,21,11,0,1,2,1,0,0,2,1,0,0,78,32,9,2,0,0,0,0,0,0,0,0,8,-9,10,7,16,0.5,-0.5625,0.625,0.4375,1.3125,0.6875,1.0625,0.75,0.5625,1.3125,0,2022,11,20
37,0,17,0,1,0,2,0,0,0,14,10,11,2,17,26,7,4,2,5,1,0,2.0,3.4,3.8,1.98,3.3,3.4,2223,40,39,14,11,17,19,20,14,1,2,2,2,0,1,0,2,1,0,43,33,5,10,0,0,0,0,0,0,0,0,-3,-8,6,-5,16,-0.1875,-0.5,0.375,-0.3125,1.25,0.875,0.875,0.6875,1.0625,1.1875,0,2022,11,20
38,0,13,1,0,1,1,0,0,0,12,10,3,5,14,14,5,3,2,3,1,0,2.4,2.87,3.5,2.3,2.75,3.25,2223,36,23,9,16,9,9,18,26,2,0,0,0,1,0,0,0,2,2,225,34,8,7,0,0,0,0,0,0,0,0,0,7,-8,1,16,0.0,0.4375,-0.5,0.0625,1.125,1.625,0.5625,1.0,0.5625,0.5625,1,2022,11,20
39,0,18,10,2,2,0,2,1,2,14,9,6,5,18,7,3,3,2,2,0,0,2.4,3.1,3.2,2.3,2.9,3.1,2223,37,30,14,16,18,13,18,23,1,1,1,0,2,1,0,1,2,2,7,35,7,4,0,0,0,0,0,0,0,0,-4,3,-5,3,16,-0.25,0.1875,-0.3125,0.1875,1.125,1.4375,0.875,1.0,1.125,0.8125,1,2022,11,19
