Id,Player,Nation,Pos,Team,Age,Born,Pj,Starts,Min,90s,Gls,Ast,GNP,GP,PS,CrdY,CrdR,Gls/Pj,Ast/Pj,G+A,GNP/Pj,G+A-P/Pj,Id_Team,foto
63,Ante Budimir,CRO,FW,Osasuna,31,1991,11,7,554,6.2,1,0,1,0,0,1,0,0.16,0.0,0.16,0.16,0.16,12,https://cdn.sofifa.net/players/notfound_0_60.png
64,Santiago Bueno,URU,DF,Girona,24,1998,14,14,1260,14.0,0,1,0,0,0,2,0,0.0,0.07,0.07,0.0,0.07,10,https://cdn.sofifa.net/players/notfound_0_60.png
65,Sergio Busquets,ESP,MF,Barcelona,34,1988,12,11,906,10.1,0,1,0,0,0,6,1,0.0,0.1,0.1,0.0,0.1,3,https://cdn.sofifa.net/players/notfound_0_60.png
66,Leandro Cabrera,URU,DF,Espanyol,31,1991,13,13,1107,12.3,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,8,https://cdn.sofifa.net/players/notfound_0_60.png
67,Cala,ESP,DF,Cadiz,33,1989,3,1,137,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5,https://cdn.sofifa.net/players/notfound_0_60.png
68,Fernando Calero,ESP,DF,Espanyol,27,1995,12,10,873,9.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,8,https://cdn.sofifa.net/players/notfound_0_60.png
69,Eduardo Camavinga,FRA,MF,Real Madrid,20,2002,14,5,511,5.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,14,https://cdn.sofifa.net/players/notfound_0_60.png
70,Sergio Camello,ESP,FW,Rayo Vallecano,21,2001,14,11,934,10.4,2,2,2,0,0,0,0,0.19,0.19,0.39,0.19,0.39,13,https://cdn.sofifa.net/players/notfound_0_60.png
71,Sergio Canales,ESP,"MF,FW",Betis,31,1991,11,9,856,9.5,1,0,1,0,0,4,1,0.11,0.0,0.11,0.11,0.11,4,https://cdn.sofifa.net/players/notfound_0_60.png
72,Ander Capa,ESP,FW,Athletic Club,30,1992,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,https://cdn.sofifa.net/players/notfound_0_60.png
73,Étienne Capoue,FRA,MF,Villarreal,34,1988,10,10,836,9.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,19,https://cdn.sofifa.net/players/notfound_0_60.png
74,Isaac Carcelen,ESP,DF,Cadiz,29,1993,7,5,452,5.0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,5,https://cdn.sofifa.net/players/notfound_0_60.png
75,Juan Carlos,ESP,GK,Girona,34,1988,10,10,900,10.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,10,https://cdn.sofifa.net/players/notfound_0_60.png
76,José Carlos Lazo,ESP,"MF,FW",Almeria,26,1996,1,0,20,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,https://cdn.sofifa.net/players/notfound_0_60.png
77,José Carlos Lazo,ESP,"MF,FW",Espanyol,26,1996,7,0,117,1.3,1,0,1,0,0,0,0,0.77,0.0,0.77,0.77,0.77,8,https://cdn.sofifa.net/players/notfound_0_60.png
78,Carmona,ESP,DF,Sevilla,20,2002,9,4,442,4.9,2,1,2,0,0,4,0,0.41,0.2,0.61,0.41,0.61,16,https://cdn.sofifa.net/players/notfound_0_60.png
79,Yannick Carrasco,BEL,"DF,FW",Atletico Madrid,29,1993,13,8,739,8.2,1,0,1,0,0,1,0,0.12,0.0,0.12,0.12,0.12,2,https://cdn.sofifa.net/players/notfound_0_60.png
80,Dani Carvajal,ESP,DF,Real Madrid,30,1992,12,10,872,9.7,0,1,0,0,0,3,0,0.0,0.1,0.1,0.0,0.1,14,https://cdn.sofifa.net/players/notfound_0_60.png
81,William Carvalho,POR,MF,Betis,30,1992,13,12,926,10.3,2,1,2,0,0,3,0,0.19,0.1,0.29,0.19,0.29,4,https://cdn.sofifa.net/players/notfound_0_60.png
82,Casals,ESP,MF,Girona,17,2005,2,0,12,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,10,https://cdn.sofifa.net/players/notfound_0_60.png
83,Casemiro,BRA,MF,Real Madrid,30,1992,1,0,8,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,14,https://cdn.sofifa.net/players/notfound_0_60.png
84,Valentín Castellanos,ARG,FW,Girona,24,1998,14,14,1112,12.4,3,0,3,0,0,4,0,0.24,0.0,0.24,0.24,0.24,10,https://cdn.sofifa.net/players/notfound_0_60.png
85,Samu Castillejo,ESP,FW,Valencia,27,1995,10,8,612,6.8,2,0,2,0,0,4,0,0.29,0.0,0.29,0.29,0.29,17,https://cdn.sofifa.net/players/notfound_0_60.png
86,Catena,ESP,DF,Rayo Vallecano,28,1994,14,14,1260,14.0,1,1,1,0,0,5,0,0.07,0.07,0.14,0.07,0.14,13,https://cdn.sofifa.net/players/notfound_0_60.png
87,Edinson Cavani,URU,FW,Valencia,35,1987,7,7,430,4.8,4,1,2,2,3,0,0,0.84,0.21,1.05,0.42,0.63,17,https://cdn.sofifa.net/players/notfound_0_60.png
88,Dani Ceballos,ESP,MF,Real Madrid,26,1996,8,2,178,2.0,0,1,0,0,0,1,0,0.0,0.51,0.51,0.0,0.51,14,https://cdn.sofifa.net/players/notfound_0_60.png
89,Franco Cervi,ARG,MF,Celta Vigo,28,1994,13,12,1017,11.3,0,2,0,0,0,0,1,0.0,0.18,0.18,0.0,0.18,6,https://cdn.sofifa.net/players/notfound_0_60.png
90,Pep Chavarría,ESP,"FW,DF",Rayo Vallecano,24,1998,5,0,66,0.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,13,https://cdn.sofifa.net/players/notfound_0_60.png
91,Andreas Christensen,DEN,DF,Barcelona,26,1996,5,4,318,3.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3,https://cdn.sofifa.net/players/notfound_0_60.png
92,Samuel Chukwueze,NGA,"FW,MF",Villarreal,23,1999,13,5,538,6.0,0,1,0,0,0,1,0,0.0,0.17,0.17,0.0,0.17,19,https://cdn.sofifa.net/players/notfound_0_60.png
93,Víctor Chust,ESP,DF,Cadiz,22,2000,11,9,851,9.5,1,0,1,0,0,3,0,0.11,0.0,0.11,0.11,0.11,5,https://cdn.sofifa.net/players/notfound_0_60.png
94,Pathé Ciss,SEN,"MF,DF",Rayo Vallecano,28,1994,13,6,643,7.1,1,0,1,0,0,3,0,0.14,0.0,0.14,0.14,0.14,13,https://cdn.sofifa.net/players/notfound_0_60.png
95,Carlos Clerc,ESP,DF,Elche,30,1992,10,10,862,9.6,0,1,0,0,0,1,0,0.0,0.1,0.1,0.0,0.1,7,https://cdn.sofifa.net/players/notfound_0_60.png
96,Álex Collado,ESP,"MF,FW",Elche,23,1999,8,8,514,5.7,1,1,1,0,0,0,0,0.18,0.18,0.35,0.18,0.35,7,https://cdn.sofifa.net/players/notfound_0_60.png
97,Eray Cömert,SUI,DF,Valencia,24,1998,11,10,871,9.7,1,0,1,0,0,3,1,0.1,0.0,0.1,0.1,0.1,17,https://cdn.sofifa.net/players/notfound_0_60.png
98,Santi Comesaña,ESP,MF,Rayo Vallecano,26,1996,12,8,728,8.1,1,0,1,0,0,2,0,0.12,0.0,0.12,0.12,0.12,13,https://cdn.sofifa.net/players/notfound_0_60.png
