Id,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,Season,Id_HomeTeam,Id_AwayTeam
78,SP2,2022-11-02,Villarreal B,Oviedo,2,1,H,0,0,D,12,14,5,3,10,11,6,8,3,2,0,0,2.9,3.1,2.62,2.75,2.95,2.5,2223,40,34
79,SP2,2022-11-02,Eibar,Lugo,1,0,H,0,0,D,18,11,7,3,8,10,12,3,4,3,0,0,1.55,4.1,6.0,1.55,3.6,5.75,2223,26,32
80,SP2,2022-11-02,CD Mirandes,Tenerife,1,0,H,0,0,D,7,11,2,1,17,13,5,3,1,4,0,0,2.7,3.25,2.7,2.6,3.1,2.55,2223,25,38
81,SP2,2022-11-01,UD Ibiza,Leganes,0,2,A,0,1,A,9,11,3,5,19,12,5,5,5,2,0,0,2.75,3.0,2.8,2.65,2.8,2.7,2223,39,30
82,SP2,2022-11-01,Racing Sant,Alaves,1,1,D,1,1,D,7,9,4,1,12,17,7,8,2,3,0,1,2.62,3.0,2.87,2.6,2.87,2.75,2223,36,20
83,SP2,2022-11-01,Las Palmas,Burgos,0,2,A,0,0,D,18,6,4,3,8,8,11,3,1,4,0,1,1.7,3.3,6.5,1.65,3.3,5.5,2223,29,23
84,SP2,2022-11-01,Zaragoza,Andorra,0,2,A,0,1,A,12,5,3,2,19,10,3,2,3,2,0,0,2.2,3.0,3.75,2.15,2.95,3.4,2223,41,22
85,SP2,2022-11-01,Ponferradina,Huesca,1,0,H,1,0,H,10,15,2,3,15,10,4,7,4,2,0,0,2.8,3.2,2.7,2.7,3.0,2.5,2223,35,28
86,SP1,2022-10-31,Elche,Getafe,0,1,A,0,0,D,12,8,5,3,12,11,6,2,0,3,0,1,2.7,3.0,2.87,2.65,3.0,2.85,2223,7,9
87,SP2,2022-10-31,Levante,Sporting Gijon,1,0,H,0,0,D,9,9,3,1,7,11,3,6,1,2,0,0,2.2,3.4,3.25,2.05,3.2,3.3,2223,31,37
88,SP2,2022-10-30,Albacete,Villarreal B,0,0,D,0,0,D,15,13,4,4,15,11,5,6,1,2,0,0,1.75,3.5,5.0,1.73,3.4,4.33,2223,21,40
89,SP2,2022-10-30,Cartagena,Granada,0,0,D,0,0,D,9,14,4,0,14,14,8,5,2,0,0,0,2.5,3.25,2.9,2.37,3.1,2.8,2223,24,27
90,SP2,2022-10-30,Malaga,Eibar,0,1,A,0,1,A,15,10,5,2,11,8,5,2,1,2,0,0,3.25,3.2,2.3,3.1,3.1,2.2,2223,33,26
91,SP2,2022-10-30,Lugo,CD Mirandes,0,0,D,0,0,D,11,12,1,2,25,10,6,2,2,1,0,0,2.5,3.3,2.9,2.3,3.0,2.95,2223,32,25
92,SP1,2022-10-30,Osasuna,Valladolid,2,0,H,2,0,H,20,7,10,2,14,16,1,8,1,3,0,0,1.9,3.4,4.33,1.9,3.5,4.0,2223,12,18
93,SP1,2022-10-30,Real Madrid,Girona,1,1,D,0,0,D,19,8,6,2,16,8,7,1,3,3,1,0,1.2,6.5,13.0,1.21,7.0,12.5,2223,14,10
94,SP1,2022-10-30,Athletic Club,Villarreal,1,0,H,0,0,D,19,6,7,3,12,10,6,2,2,1,0,0,2.2,3.3,3.4,2.15,3.4,3.3,2223,1,19
95,SP1,2022-10-30,Real Sociedad,Betis,0,2,A,0,0,D,14,10,7,4,22,16,5,3,4,4,0,0,2.0,3.5,3.8,2.05,3.5,3.6,2223,15,4
96,SP1,2022-10-29,Valencia,Barcelona,0,1,A,0,0,D,3,13,2,2,13,7,3,10,4,5,0,0,5.0,4.33,1.57,5.25,4.33,1.58,2223,17,3
97,SP1,2022-10-29,Cadiz,Atletico Madrid,3,2,H,1,0,H,10,15,7,7,15,12,5,3,2,4,0,0,7.0,3.6,1.6,6.0,3.75,1.62,2223,5,2
98,SP1,2022-10-29,Almeria,Celta Vigo,3,1,H,0,1,A,19,8,5,3,10,7,6,4,4,0,0,1,3.3,3.3,2.25,3.2,3.4,2.2,2223,0,6
99,SP1,2022-10-29,Sevilla,Rayo Vallecano,0,1,A,0,0,D,10,15,4,5,9,20,6,6,6,1,0,0,2.0,3.3,4.0,1.98,3.4,3.9,2223,16,13
100,SP2,2022-10-29,Andorra,Ponferradina,3,0,H,2,0,H,18,10,6,0,15,18,7,4,0,4,0,0,1.9,3.6,4.0,1.85,3.3,3.9,2223,22,35
101,SP2,2022-10-29,Huesca,Las Palmas,1,0,H,1,0,H,3,17,1,3,10,8,4,16,1,4,1,0,3.5,3.25,2.15,3.3,3.0,2.15,2223,28,29
102,SP2,2022-10-29,Alaves,Oviedo,2,1,H,1,0,H,10,8,4,1,12,21,5,2,1,4,0,0,2.2,2.9,4.0,2.05,3.0,3.5,2223,20,34
